frame,timestamp,hand_index,Thumb_MCP,Thumb_PIP,Index_MCP,Index_PIP,Middle_MCP,Middle_PIP,Ring_MCP,Ring_PIP,Pinky_MCP,Pinky_PIP,Thumb_MCP_velocity,Thumb_PIP_velocity,Index_MCP_velocity,Index_PIP_velocity,Middle_MCP_velocity,Middle_PIP_velocity,Ring_MCP_velocity,Ring_PIP_velocity,Pinky_MCP_velocity,Pinky_PIP_velocity,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
2,2025-06-04 07:49:05.517634,0,164.12016233237833,169.24372094477394,142.3987077465244,159.78046688569523,142.5993527836863,166.29052027764428,140.88032691955593,164.3682217772343,155.62841611772407,168.14566095841505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317857146263123,0.6323835253715515,-3.550868541424279e-07,0.7466856241226196,0.5980742573738098,0.0010887720854952931,0.7546496391296387,0.558639645576477,-0.008841918781399727,0.75224769115448,0.5263446569442749,-0.020005512982606888,0.7488417625427246,0.5016495585441589,-0.0339750200510025,0.789513349533081,0.5619112253189087,-0.03905371204018593,0.786624014377594,0.5113145112991333,-0.06435662508010864,0.7619950771331787,0.48603084683418274,-0.07829142361879349,0.7353267669677734,0.473116397857666,-0.08589921146631241,0.7840648293495178,0.5685968995094299,-0.05229397490620613,0.7796493768692017,0.5187026858329773,-0.07807057350873947,0.7495062351226807,0.4862884283065796,-0.08955729752779007,0.721294641494751,0.4679343104362488,-0.09734448045492172,0.7670751214027405,0.5754420161247253,-0.0644078478217125,0.7650942206382751,0.5258685350418091,-0.08903731405735016,0.7364363670349121,0.49331730604171753,-0.0987633541226387,0.7121388912200928,0.4776809811592102,-0.10434853285551071,0.743898868560791,0.5808750987052917,-0.07503273338079453,0.737872302532196,0.5436648726463318,-0.10073111206293106,0.7221248745918274,0.5157327055931091,-0.11107838153839111,0.7076490521430969,0.49910685420036316,-0.11655408143997192
3,2025-06-04 07:49:06.165879,0,157.9828759184479,160.4106047289425,153.9723638803535,162.00157988853084,158.85418095662962,165.760106366364,140.91737253533452,156.1843911854628,150.677722360506,162.25804184664904,-9.467541460297326,-13.62620030363742,17.853830162714875,3.4263480672208937,25.075130811565568,-0.8182306246562292,0.057147553438275996,-12.624595009250378,-7.637072028659014,-9.082398031247468,0.7368581295013428,0.6241573691368103,-3.4005219617938565e-07,0.752323567867279,0.5828134417533875,0.007656029891222715,0.7627681493759155,0.537463366985321,0.002140939934179187,0.7573208808898926,0.5020135641098022,-0.005421091336756945,0.7444048523902893,0.47691598534584045,-0.015803007408976555,0.8114864230155945,0.5230572819709778,-0.027253780514001846,0.7706773281097412,0.47157636284828186,-0.0396646223962307,0.7391420602798462,0.4562680423259735,-0.042856547981500626,0.7160300612449646,0.45305997133255005,-0.04436662048101425,0.801298975944519,0.5380122661590576,-0.04102175682783127,0.7590548992156982,0.48028838634490967,-0.05571514740586281,0.7244056463241577,0.4576876759529114,-0.060169558972120285,0.6970717906951904,0.44830793142318726,-0.06443889439105988,0.778809130191803,0.5548287630081177,-0.05215020850300789,0.7415525317192078,0.5006577968597412,-0.06789632886648178,0.7099454402923584,0.4897165298461914,-0.06698324531316757,0.6913774609565735,0.49124473333358765,-0.06605444103479385,0.749617338180542,0.5707302093505859,-0.06150028109550476,0.7289511561393738,0.5220234394073486,-0.07937505841255188,0.7089648842811584,0.5036709904670715,-0.08020986616611481,0.6970477104187012,0.49764445424079895,-0.07869107276201248
4,2025-06-04 07:49:06.818623,0,168.36965604779076,172.15676639284007,142.18467402604728,163.33872397093918,140.38762743196716,165.65459749994218,137.46214371214003,169.00407807323074,149.8844378376836,173.18659661960643,15.912486563404439,17.995051143936315,-18.058672089373818,2.0484969335732592,-28.290652268979045,-0.16163896783703055,-5.293390399903314,19.639685524138013,-1.2153072610738727,16.74248215679868,0.7297891974449158,0.6365725994110107,-2.716325298024458e-07,0.7424390912055969,0.5937191247940063,-0.0066857715137302876,0.7514714002609253,0.5455083250999451,-0.02315288409590721,0.7505877017974854,0.5079931020736694,-0.037997253239154816,0.7473527193069458,0.4795359969139099,-0.0531558096408844,0.8017506003379822,0.5498866438865662,-0.06060449779033661,0.7945218682289124,0.5007305145263672,-0.09168542176485062,0.7631753087043762,0.4721209704875946,-0.10574238747358322,0.7322796583175659,0.45693153142929077,-0.1133771687746048,0.7917177677154541,0.5637527108192444,-0.07100684940814972,0.7840990424156189,0.5097006559371948,-0.1035822331905365,0.7484974265098572,0.4726409316062927,-0.11206205189228058,0.7163509130477905,0.45279139280319214,-0.11742386966943741,0.7701929807662964,0.5778498649597168,-0.08029147237539291,0.7671632170677185,0.52736896276474,-0.10857918858528137,0.7359960675239563,0.48952192068099976,-0.11186857521533966,0.7096976637840271,0.4676515758037567,-0.11283022165298462,0.741245448589325,0.5902363657951355,-0.0888977199792862,0.7383086681365967,0.550823450088501,-0.11658138036727905,0.7216207385063171,0.5192288756370544,-0.12527520954608917,0.7070310115814209,0.49561744928359985,-0.12918537855148315
5,2025-06-04 07:49:07.670004,0,156.82323599674086,169.56589709754076,152.7553774765176,163.56270924699788,140.99326735260786,167.41071665828818,133.09097383925027,165.17116900118006,146.20958678901496,162.5495297585909,-13.56198934560425,-3.0431373207756733,12.415949440344944,0.2630846542954311,0.7113617999940073,2.0626713050279437,-5.134211208483353,-4.501990380394538,-4.316341389658264,-12.49389739848028,0.6344603896141052,0.6832711100578308,-5.725750042984146e-07,0.6672971844673157,0.6286894083023071,0.05994758382439613,0.707492470741272,0.5941025614738464,0.07115831971168518,0.7307320833206177,0.5637430548667908,0.06577301770448685,0.7514237761497498,0.534122109413147,0.05391766130924225,0.7600827813148499,0.6189403533935547,0.0300226341933012,0.7772058844566345,0.5493067502975464,0.015119649469852448,0.7649251222610474,0.4999197721481323,0.005361504387110472,0.7464492917060852,0.468475878238678,2.916235098382458e-05,0.7526900768280029,0.6273529529571533,-0.018187422305345535,0.7742783427238464,0.5485582947731018,-0.035131458193063736,0.7514258623123169,0.4969291687011719,-0.04163214936852455,0.7286400198936462,0.46587783098220825,-0.04438093304634094,0.7369557023048401,0.6309301257133484,-0.06249763071537018,0.753284215927124,0.5502491593360901,-0.07748562842607498,0.7262818813323975,0.5072208642959595,-0.07072292268276215,0.7062240839004517,0.4878770709037781,-0.06414543092250824,0.7136355638504028,0.6276648044586182,-0.10220694541931152,0.7261170744895935,0.5595606565475464,-0.11225321143865585,0.7123733162879944,0.5172082781791687,-0.10415495932102203,0.6987797021865845,0.4972240924835205,-0.09637635946273804
5,2025-06-04 07:49:07.670004,1,169.77536240846393,175.33260123161077,148.0981256455164,169.00891661274156,139.91952195423085,171.71861698429333,136.1253113671782,168.7936261830668,145.20738599355437,167.79595212672766,inf,inf,-inf,inf,-inf,inf,inf,inf,-inf,inf,0.7280680537223816,0.6408912539482117,-8.9517563139907e-08,0.7211858630180359,0.6262814998626709,-0.05039522424340248,0.7172616124153137,0.6016013622283936,-0.09355214238166809,0.7082396745681763,0.5794709920883179,-0.12493319064378738,0.698215126991272,0.5609655976295471,-0.1556679904460907,0.7779774069786072,0.5958942770957947,-0.134455144405365,0.7685954570770264,0.5356520414352417,-0.17776353657245636,0.7366889119148254,0.49548009037971497,-0.19374147057533264,0.7077052593231201,0.4698182940483093,-0.20204563438892365,0.7848904132843018,0.5978327989578247,-0.1250298172235489,0.7782797813415527,0.5288138389587402,-0.17374035716056824,0.7393710613250732,0.4837309718132019,-0.18533219397068024,0.7086910605430603,0.4569278359413147,-0.1915459781885147,0.7771222591400146,0.5962752103805542,-0.11427706480026245,0.7724654674530029,0.5328562259674072,-0.1556481271982193,0.7333586812019348,0.4898136854171753,-0.16270054876804352,0.7021005749702454,0.466085284948349,-0.16475412249565125,0.7587576508522034,0.5918153524398804,-0.10515822470188141,0.7504743337631226,0.5444235801696777,-0.1414988785982132,0.7209006547927856,0.5103090405464172,-0.15415550768375397,0.6951600313186646,0.4903503358364105,-0.160110741853714
6,2025-06-04 07:49:08.798991,0,161.48782852001042,174.0812457988849,123.54076066003594,157.626893574997,136.42564587177333,157.77661394579613,121.78637964354434,155.76630460895547,144.59153423244138,163.8060310046775,-7.340681414802393,-1.1083878137886964,-21.751680918806382,-10.08162453398006,-3.0947000120085693,-12.349126286216942,-12.700705786367658,-11.538947369731751,-0.5454905690791766,-3.53407180246554,0.6149373054504395,0.6665264368057251,-5.811124879073759e-07,0.652744710445404,0.6087219715118408,0.041831884533166885,0.7020742893218994,0.5762354731559753,0.0490524023771286,0.7325537204742432,0.5464074611663818,0.043109603226184845,0.7588749527931213,0.5234919190406799,0.03514325991272926,0.765891969203949,0.6123076677322388,0.01729806326329708,0.8101982474327087,0.5451422333717346,0.0020348781254142523,0.7908152937889099,0.5005208849906921,-0.002823203569278121,0.7649050951004028,0.4750393033027649,-0.003695448860526085,0.7633826732635498,0.6291058659553528,-0.01821165531873703,0.7880527377128601,0.5400382280349731,-0.03671354427933693,0.7607953548431396,0.4888860583305359,-0.04144458472728729,0.7331135869026184,0.46582186222076416,-0.04293202608823776,0.7460952401161194,0.637591540813446,-0.051620371639728546,0.7506270408630371,0.5462858080863953,-0.06963788717985153,0.7055143713951111,0.5129985809326172,-0.06544749438762665,0.6726113557815552,0.5057085156440735,-0.06007977947592735,0.7160701155662537,0.6368752717971802,-0.08170797675848007,0.7150890231132507,0.5585811138153076,-0.0947529599070549,0.6884618401527405,0.5191235542297363,-0.09232279658317566,0.6679126024246216,0.5016402006149292,-0.08875952661037445
7,2025-06-04 07:49:09.831058,0,159.69752219492253,174.9106912114403,114.24509224966147,156.81410252782038,130.71065951002333,155.68784703837238,125.56899522957518,155.9426324574156,148.7682613471858,163.05266050271032,-1.734680330916401,0.8036739984471949,-9.006845883430508,-0.7875370951465663,-5.537417979404431,-2.0238675468004947,3.6650872337075433,0.17084922631975166,4.046953458200328,-0.7299627853299917,0.6027598977088928,0.6806426644325256,-7.169426794462197e-07,0.6409688591957092,0.5928692817687988,0.033750928938388824,0.6898560523986816,0.5477704405784607,0.03409012407064438,0.7185913920402527,0.5033079385757446,0.020762532949447632,0.7419984936714172,0.45902371406555176,0.006695066578686237,0.7675337791442871,0.6010638475418091,0.021009478718042374,0.8185202479362488,0.5446762442588806,-0.0013666913146153092,0.7977867722511292,0.5030984878540039,-0.013767468743026257,0.7685767412185669,0.477703332901001,-0.01901497319340706,0.7619537115097046,0.6243596076965332,-0.012708288617432117,0.7851041555404663,0.5388959646224976,-0.0375177264213562,0.7514489889144897,0.4904875159263611,-0.04624735936522484,0.7180958390235901,0.47045624256134033,-0.04949520155787468,0.7429099082946777,0.6385895013809204,-0.04677772521972656,0.7486029267311096,0.54718017578125,-0.06845530867576599,0.7047287225723267,0.5095187425613403,-0.06722788512706757,0.6696646213531494,0.4988800287246704,-0.06387906521558762,0.7148343324661255,0.642248272895813,-0.07872208207845688,0.7128466963768005,0.566929042339325,-0.09271657466888428,0.6870815753936768,0.5234867334365845,-0.09178824722766876,0.663736879825592,0.5020084381103516,-0.0895877480506897
8,2025-06-04 07:49:10.865929,0,164.22649198008762,174.73344751214933,118.59345863595021,154.42592791456713,130.4151157745015,153.8129789955668,126.63104348393833,156.03823216119304,147.1372615337528,165.65005076965977,4.376361677122161,-0.17127129786319564,4.201843888067928,-2.307702711983673,-0.2855850975839949,-1.8116925131785386,1.0262614899471993,0.09237837737981243,-1.5760416645485489,2.5098686376847414,0.5909525752067566,0.6855565309524536,-7.592442443637992e-07,0.6298654079437256,0.5994489789009094,0.025559933856129646,0.6805129051208496,0.5519883632659912,0.02400342933833599,0.7118762731552124,0.5082302689552307,0.012105993926525116,0.7361378073692322,0.4670829772949219,1.0890478733927011e-05,0.7690533995628357,0.6100124716758728,0.00961024034768343,0.8196301460266113,0.5431535243988037,-0.014753462746739388,0.7976345419883728,0.5005170106887817,-0.029470723122358322,0.7674873471260071,0.47719594836235046,-0.0355762355029583,0.7647599577903748,0.6321532130241394,-0.016334805637598038,0.7860194444656372,0.5338209867477417,-0.035288285464048386,0.7509244680404663,0.4883842170238495,-0.04094113036990166,0.7170277833938599,0.4718499481678009,-0.044640205800533295,0.7456515431404114,0.6430540680885315,-0.0428321547806263,0.7499088048934937,0.5450479388237,-0.0586668886244297,0.7079510688781738,0.5094106793403625,-0.05577986687421799,0.6728770136833191,0.4991229772567749,-0.05379641056060791,0.716461718082428,0.6429018378257751,-0.06793487071990967,0.7129307985305786,0.5662156343460083,-0.07822779566049576,0.6860693097114563,0.5264994502067566,-0.07639710605144501,0.661429762840271,0.5046175122261047,-0.0744730681180954
9,2025-06-04 07:49:11.636399,0,165.08234380041674,173.35237948708073,132.40148368959942,158.74568118539077,130.8423111691194,154.61364151378717,119.12468403688518,150.39589472152934,145.47121633970332,154.87913276298934,1.110817838889407,-1.792500713939025,17.921560935077554,5.606646943844199,0.5544607766920334,1.0391871431987978,-9.742571997680821,-7.323240930423887,-2.162375165872096,-13.979672156826908,0.6132204532623291,0.6923339366912842,-7.468443641300837e-07,0.6444095373153687,0.6143510341644287,0.0333947129547596,0.6901322603225708,0.5823360085487366,0.03893737494945526,0.721775233745575,0.5542512536048889,0.033202238380908966,0.7480940222740173,0.530917763710022,0.024192849174141884,0.7662741541862488,0.6206098794937134,0.014895573258399963,0.8111774921417236,0.5496513247489929,-0.0009899982251226902,0.7986160516738892,0.5067696571350098,-0.011361336335539818,0.7780501842498779,0.47990840673446655,-0.016348576173186302,0.7620483636856079,0.6394465565681458,-0.015066741034388542,0.7803717255592346,0.54151451587677,-0.03366757556796074,0.7464463710784912,0.5000492930412292,-0.04195987805724144,0.711914598941803,0.483708918094635,-0.045691706240177155,0.7430133819580078,0.646202802658081,-0.04351510852575302,0.7468821406364441,0.5460808277130127,-0.06308994442224503,0.7028703689575195,0.5188239812850952,-0.06379567831754684,0.6667793393135071,0.5172696709632874,-0.06156798079609871,0.7145388126373291,0.641048014163971,-0.06917634606361389,0.7137781381607056,0.5610323548316956,-0.08472626656293869,0.689860999584198,0.5242728590965271,-0.08384120464324951,0.6656661033630371,0.5090267658233643,-0.08091546595096588
9,2025-06-04 07:49:11.636399,1,165.3754018399383,175.56808648325162,120.79806080957397,153.9542031338652,128.70474946953527,153.26237188533622,124.19024825894695,155.33660930215078,144.62590949130185,164.69499948083185,inf,inf,-inf,-inf,-inf,-inf,inf,inf,-inf,inf,0.5880552530288696,0.691319465637207,-7.696791612943343e-07,0.6353806257247925,0.6047840714454651,0.029240569099783897,0.6884726881980896,0.5621187686920166,0.02954542450606823,0.7250694632530212,0.523885190486908,0.017955634742975235,0.7556183338165283,0.48689576983451843,0.0059274123050272465,0.7709389925003052,0.6109412312507629,0.015733160078525543,0.820909857749939,0.541615903377533,-0.009560409002006054,0.800202488899231,0.5000388622283936,-0.0245900247246027,0.7714636325836182,0.47720593214035034,-0.03018665872514248,0.7651341557502747,0.6321714520454407,-0.01251579076051712,0.7867833375930786,0.5317739844322205,-0.03307803347706795,0.7516171336174011,0.4891258180141449,-0.038923028856515884,0.7178354263305664,0.47429898381233215,-0.04171415790915489,0.7453354597091675,0.6428167223930359,-0.041525471955537796,0.7475156784057617,0.5417513251304626,-0.0597430057823658,0.702961802482605,0.5083399415016174,-0.05647309869527817,0.6663796901702881,0.5004237294197083,-0.05296504124999046,0.7164251208305359,0.6425971984863281,-0.06896231323480606,0.715046763420105,0.5640637278556824,-0.08026674389839172,0.6879810690879822,0.524936854839325,-0.07782382518053055,0.6630679368972778,0.5039122700691223,-0.07481101155281067
